model_slug,part_sku,fitment_confidence,notes,active
tvs-jupiter-110,PART-BRK-SHOE-F,VARIANT_DEPENDENT,Compatibility will be confirmed by our mechanic.,true
tvs-jupiter-110,PART-BRK-SHOE-R,MODEL_SPECIFIC,Rear drum brake shoe,true
tvs-jupiter-110,PART-BAT-12V4AH,COMMON,4Ah battery,true
tvs-jupiter-110,PART-TYR-F-9090,MODEL_SPECIFIC,90/90-12 front tyre,true
tvs-jupiter-110,PART-TYR-R-9090,MODEL_SPECIFIC,90/90-12 rear tyre,true
royal-enfield-classic-350,PART-ENG-OIL-15W50,MODEL_SPECIFIC,Royal Enfield J-Series 15W-50 semi-synthetic,true
royal-enfield-classic-350,PART-AIR-FLT-COMM,VERIFY_BEFORE_ORDER,Verify exact air filter model between UCE and J-Series,true
royal-enfield-classic-350,PART-SPK-PLG-RES,MODEL_SPECIFIC,Long thread dual plug / single plug,true
royal-enfield-classic-350,PART-CHN-SPRK-SET,MODEL_SPECIFIC,520 pitch heavy duty chain sprocket kit,true
royal-enfield-classic-350,PART-CLT-PLT-SET,MODEL_SPECIFIC,Multiplate wet clutch set for 350cc,true
royal-enfield-classic-350,PART-CLT-CBL,MODEL_SPECIFIC,Classic 350 heavy duty clutch cable,true
royal-enfield-classic-350,PART-ACC-CBL,MODEL_SPECIFIC,Classic 350 accelerator cable,true
royal-enfield-classic-350,PART-BRK-PAD-F,MODEL_SPECIFIC,Front Bybre caliper brake pads,true
royal-enfield-classic-350,PART-BRK-PAD-R,MODEL_SPECIFIC,Rear Bybre disc pads,true
royal-enfield-classic-350,PART-BRK-FLD-DOT4,COMMON,DOT 4 high temp fluid,true
royal-enfield-classic-350,PART-BAT-12V5AH,MODEL_SPECIFIC,Heavy duty starting battery,true
royal-enfield-classic-350,PART-BULB-HL-HS1,COMMON,Halogen headlight bulb,true
royal-enfield-classic-350,PART-FORK-SEAL,MODEL_SPECIFIC,35mm fork oil seal kit,true
suzuki-access-125,PART-ENG-OIL-10W30,COMMON,Suzuki 10W-30 engine oil,true
suzuki-access-125,PART-AIR-FLT-SCOOT,MODEL_SPECIFIC,Access 125 air filter,true
suzuki-access-125,PART-CVT-BLT,MODEL_SPECIFIC,Access 125 CVT drive belt,true
suzuki-access-125,PART-CVT-RLR-SET,MODEL_SPECIFIC,Access 125 variator roller kit,true
suzuki-access-125,PART-BRK-SHOE-F,VARIANT_DEPENDENT,Compatibility will be confirmed by our mechanic.,true
suzuki-access-125,PART-BRK-SHOE-R,MODEL_SPECIFIC,Rear drum shoe,true
suzuki-access-125,PART-BAT-12V4AH,COMMON,12V 4Ah battery,true
suzuki-access-125,PART-TYR-F-9090,MODEL_SPECIFIC,90/90-12 front tyre,true
honda-shine-125,PART-ENG-OIL-10W30,COMMON,Honda 10W-30 engine oil,true
honda-shine-125,PART-AIR-FLT-COMM,MODEL_SPECIFIC,Shine 125 air filter element,true
honda-shine-125,PART-SPK-PLG-RES,MODEL_SPECIFIC,NGK CPR7EA-9 spark plug,true
honda-shine-125,PART-CHN-SPRK-SET,MODEL_SPECIFIC,Chain sprocket kit for Shine 125 428-118L,true
honda-shine-125,PART-CLT-PLT-SET,MODEL_SPECIFIC,Shine 125 clutch plates set,true
honda-shine-125,PART-CLT-CBL,MODEL_SPECIFIC,Shine 125 clutch cable,true
honda-shine-125,PART-ACC-CBL,MODEL_SPECIFIC,Shine accelerator cable,true
honda-shine-125,PART-BRK-SHOE-F,VARIANT_DEPENDENT,Compatibility will be confirmed by our mechanic based on Drum or Disc variant,true
honda-shine-125,PART-BRK-PAD-F,VARIANT_DEPENDENT,Front disc pads for Shine Disc variant,true
honda-shine-125,PART-BRK-SHOE-R,MODEL_SPECIFIC,Rear drum brake shoe,true
honda-shine-125,PART-BAT-12V4AH,COMMON,12V 4Ah battery,true
honda-shine-125,PART-TYR-F-27518,MODEL_SPECIFIC,80/100-18 or 2.75-18 front tyre,true
honda-shine-125,PART-TYR-R-30018,MODEL_SPECIFIC,80/100-18 rear tyre,true
